Question_ID,Question,Expected_Answer,Source_Document_and_Section
Q_001,What is the minimum CGPA required for a 3rd-year student to apply for the AlumBridge mentorship program?,A minimum CGPA of 7.5.,Document 13: Section 2
Q_002,What is the penalty if a student is caught logging proxy biometric attendance for a friend?,Both the student who provided the ID card and the student who scanned it lose all accumulated attendance in that specific subject for the entire semester.,Document 4: Section 2
Q_003,"If a Category-A student withdraws admission after Phase 2 of counseling but before the final phase, how much of their paid tuition fee is refunded?",The student will receive exactly a 50% refund of the paid tuition fee.,"Document 15: Section 5"
Q_004,What color must the hardbound thesis cover be for a Civil Engineering major project?,Dark Green fabric with Silver embossed lettering.,Document 18: Section 6
Q_005,Can a final-year student who has accepted a Tier 1 placement offer apply for incubation funding from the HIT-IC?,"No. Final-year students who have already accepted a corporate placement offer (Tier 1, 2, or 3) are legally barred from applying for incubation funding unless they officially forfeit their placement privileges.",Document 14: Section 2
Q_006,"A student has a 9.8 CGPA but failed a minor laboratory course. Are they eligible for the Chancellor's Merit Scholarship?",No. A single active backlog instantly disqualifies the student from the entire merit scholarship framework for that year regardless of their high theoretical average.,Document 16: Section 2
Q_007,How many physical books can a 4th-year B.Tech student borrow from the central library simultaneously?,A maximum of six physical books.,Document 7: Section 2
Q_008,"If a student is placed on Academic Probation due to a CGPA below 5.5, what is the maximum number of credits they can register for in the next semester?",They are legally barred from registering for more than eighteen credits in any standard semester.,Document 5: Section 3
Q_009,"What is the consequence if an incubated startup founder utilizes seed funding to purchase a laptop, claiming it is for app testing?","Purchasing personal electronics is strictly prohibited. The startup's bank account is immediately frozen, founders are given 72 hours to repay the embezzled amount out of pocket, and failure leads to immediate liquidation and eviction.",Document 14: Section 4
Q_010,What is the absolute maximum speed limit for vehicles driven within the HIT campus boundary?,The absolute maximum speed limit is 20 kilometers per hour.,Document 8: Section 3
Q_011,What is the fine for an unregistered two-wheeler wheel-clamp release?,The fine is ₹1000.,Document 8: Section 3
Q_012,If a student submits a library book 16 days late what is the daily fine?,The fine is ₹50 per book per day and the student's library account is instantly frozen.,Document 7: Section 3
Q_013,Can a student with a 100% state fee reimbursement apply for the Chancellor's Merit Scholarship?,No. Students receiving 100% state fee reimbursement are entirely ineligible to apply for any internal HIT tuition scholarships.,Document 16: Section 1
Q_014,If a student is detained for an attendance shortage what is the mandatory Registration Maintenance Fee they must pay for the year-back?,They must pay a Registration Maintenance Fee of ₹25000 for the detained year.,Document 5: Section 7
Q_015,What is the minimum stipend required for a semester-long industry internship in the 8th semester?,The host company must offer a minimum guaranteed stipend of ₹15000 per month.,Document 12: Section 4
Q_016,Can a student use a medical condonation to maintain the 85% attendance required for scholarship renewal?,No. Medical condonations cannot be used to bypass the 85% attendance rule for scholarships.,Document 16: Section 5
Q_017,If a varsity player is suspended for one week for wearing jeans in the gym will this affect their scholarship renewal?,Yes. A single disciplinary strike instantly flags the student as a Disciplinary Risk resulting in the immediate rejection of their scholarship renewal.,Document 16: Section 5
Q_018,How many total credits are required for a Lateral Entry student to graduate?,A Lateral Entry student requires 122 Total Credits to graduate.,Document 2: Section 1.2
Q_019,If a student misses a mid-term examination due to a standard fever can they petition for a Make-Up Examination?,No. Standard fever is summarily rejected for Make-Up Examination petitions.,Document 3: Section 7
Q_020,A third-year student has a 7.2 CGPA and zero backlogs. Can they apply for the AlumBridge mentorship program?,No. The minimum CGPA required to apply for the AlumBridge mentorship program is 7.5.,Document 13: Section 2
Q_021,What is the late registration penalty per day for course enrollment?,A strict monetary fine penalty of ₹500 per day.,Document 2: Section 4.1
Q_022,What is the non-refundable administrative charge deducted if a student cancels admission before Phase 2 of state counseling?,The university will deduct a non-refundable administrative processing charge of ₹5000.,Document 15: Section 5
Q_023,Can a student with a 7.2 CGPA and one active backlog apply for a semester-long industry internship in the 8th semester?,No because they must have absolutely zero backlogs to be granted an NOC.,Document 12: Section 4
Q_024,Are students permitted to wear canvas sneakers when entering a mechanical laboratory?,No and students wearing canvas sneakers will be denied entry to the lab due to chemical spill hazards.,Document 8: Section 1
Q_025,What is the maximum number of credits a student can register for during the Fast-Track Summer Term?,An absolute limit of 12 credits total.,Document 2: Section 6.1
Q_026,If a student secures a Tier 2 Dream Offer can they later apply for a Tier 1 company?,No because once a student holds a Tier 2 Dream Offer they can only upgrade to a Tier 3 Super Dream company.,Document 11: Section 3
Q_027,What is the penalty for tampering with the RFID security tags glued to a library book?,The student will be fined ₹5000 and suspended from the library for the remainder of the semester.,Document 7: Section 4
Q_028,How many total extra credits must a student earn to receive a B.Tech with Honors degree?,An additional 20 credits completely separate from the standard 160 credits required to graduate.,Document 2: Section 7.2
Q_029,Will a student be granted a make-up test if they miss a Semester End Examination due to a severe medical emergency?,No because there is absolutely no provision for a make-up test if a student misses a Semester End Examination.,Document 3: Section 7
Q_030,If a third-year student has exactly five active F-grades what restricted enrollment status are they automatically placed under?,They are automatically placed on Academic Probation.,Document 5: Section 2
Q_031,What is the fee for printing a duplicate Original Degree if it is lost in international transit?,The student must pay a ₹5000 reprint fee to receive a Duplicate Original Degree.,Document 20: Section 6
Q_032,What minimum aggregate percentage is required for direct admission under the Category-B quota based purely on 10+2 merit?,A minimum 65% aggregate is required for direct admission.,Document 1: Section 3.2
Q_033,Are startup founders in the HIT-IC allowed to use university seed funding to pay for trademark and patent filing legal fees?,Yes founders may use the grant to pay legal fees for trademark and patent filings.,Document 14: Section 4
Q_034,If a student with 100% state fee reimbursement receives an F-grade in a practical laboratory subject what supplementary examination fee must they pay?,They must pay a flat rate of ₹1500 per practical laboratory subject.,Document 15: Section 7
Q_035,How many total academic credits will a student earn for successfully completing a semester-long industry internship in their 8th semester?,The internship carries a massive weight of exactly sixteen academic credits.,Document 12: Section 4
Q_036,What is the maximum number of concurrent personal devices a student can register on the HIT-SECURE Wi-Fi network?,Students are permitted to register a maximum of three concurrent personal devices.,Document 17: Section 1
Q_037,What is the spot fine levied if a banned electrical appliance like an electric iron is discovered during a hostel room inspection?,A spot fine of ₹3000 is levied against the room's occupants.,Document 6: Section 5
Q_038,Can a first-year male student who leaves his hostel at 9:30 PM on a standard Tuesday access the central library?,No because the first-year boys in-time curfew is 9:00 PM and the standard library closing time is 10:00 PM.,Document 6: Section 3 and Document 7: Section 1
Q_039,Does a student need to secure faculty approval to use an Out-Pass for a local day leave?,No the Out-Pass does not require parental permission or faculty approval.,Document 6: Section 4
Q_040,What is the minimum number of students required to officially form a new extracurricular club on campus?,A new club requires a minimum founding cohort of 25 students from at least two different engineering branches.,Document 10: Section 4
Q_041,What is the minimum threshold of students required to file a class-action mass petition grievance?,A minimum of twenty verified students from the affected cohort must digitally co-sign the primary complaint within 48 hours.,Document 19: Section 5
Q_042,What happens if the state government delays a student's E-Pass fee reimbursement beyond March 31st?,The temporary exemption is revoked and the student must pay the entire ₹145000 out of their personal funds within fourteen days of receiving the demand notice.,Document 15: Section 3
Q_043,What is the required format and font size for the final printed B.Tech thesis?,The thesis must be printed on A4-sized executive bond paper in Times New Roman font size 12 with 1.5 line spacing.,Document 18: Section 6
Q_044,Can a student on Academic Probation hold the position of President in a student club?,No because probationary students are subjected to a total ban on extracurricular and leadership activities.,Document 5: Section 3
Q_045,What happens to a student's institutional email account after they graduate?,Six months after graduating the IT department initiates a permanent purge of their institutional email account and associated Google Drive storage.,Document 17: Section 6
Q_046,If a student has an 84.9% aggregate attendance can they successfully renew their Chancellor's Merit Scholarship?,No because a scholarship student must maintain a minimum aggregate attendance of 85%.,Document 16: Section 5
Q_047,What happens if a student misses their designated hostel mess serving window for lunch?,The kitchen staff will not provide food and the student must arrange for their own meal at the paid campus canteen.,Document 6: Section 6
Q_048,If an alumnus flying from London is invited for a guest lecture how much of their airfare will the university reimburse?,Zero because international travel expenses are strictly non-reimbursable.,Document 13: Section 4
Q_049,If a student caught plagiarizing 30% of their thesis is awarded a Year-Back what is the mandatory fee they must pay for that detained year?,They must pay a mandatory Registration Maintenance Fee of ₹25000 for the detained year.,Document 18: Section 4 and Document 5: Section 7
Q_050,What is the penalty if a student is caught bringing unauthorized firecrackers onto the campus during festivals?,Explosives are strictly banned and the student will be immediately detained handed over to local police and permanently expelled from the university.,Document 8: Section 5
